DOC_DATE_SCALED,DOC_ID_SCALED,AUCTION_ID_SCALED,BID_NAME_SCALED,ITEM_CAT,VENDOR_SCALED,WINNER,QUANTITY_SCALED,PRICE_SCALED
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,1,"Beverage - Carbonated, Cans - 12 oz",,"Coca-Cola Refreshments All Coca-Cola Flavors, Fuze Teas, ",,"16,000",7.92
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,1,"Beverage - Carbonated, Cans - 12 oz",," a and Minute Maid Lights (see list) Dr Pepper Bottling Company of Texas (The Dr Pepper, Diet Dr. Pepper, etc. ",,"16,000",8.2
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,1,"Beverage - Carbonated, Cans - 12 oz",," American Bottling Company) (see list) Pepsi Beverages Company Pepsi, Diet Pepsi, Mountain Dew, ",,"16,000",9.16
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,2,"Beverage - Isotonic, Low-Calorie - 12 oz",,The Masters Distribution Systems Company Gatorade G,,"20,000",11.45
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,2,"Beverage - Isotonic, Low-Calorie - 12 oz",, Coca-Cola Refreshments PowerAde Zero Mix Berry ,,"20,000",11.52
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,2,"Beverage - Isotonic, Low-Calorie - 12 oz",," Precision Foods, Inc. Sqwincher - Various Flavors ",,"20,000",15.24
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,3,"Beverage - Isotonic, No Calorie - 20 oz",,Coca-Cola Refreshments PowerAde Zero - Various Flavors ,,"20,000",15.36
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,3,"Beverage - Isotonic, No Calorie - 20 oz",, b The Masters Distribution Systems Company Gatorade Zero - Various Flavors ,,"20,000",18.75
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,3,"Beverage - Isotonic, No Calorie - 20 oz",," Precision Foods, Inc. Sqwincher - Various Flavors ",,"20,000",19.87
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,4,"Beverage - Sparkling Water, Flavored - 17 oz Bottles",,Coca-Cola Refreshments (Alt ,,"5,000",8.16
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,4,"Beverage - Sparkling Water, Flavored - 17 oz Bottles",, b Pepsi Beverages Company Bubly - Various Flavors ,,"5,000",9.45
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,4,"Beverage - Sparkling Water, Flavored - 17 oz Bottles",, b The Masters Distribution Systems Company Propel Flavored Water - Various ,,"5,000",15.99
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,4,"Beverage - Sparkling Water, Flavored - 17 oz Bottles",, c Flavors Jake's Finer Foods Sparkling Ice - Various Flavors ,,"10,000",8.5
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,4,"Beverage - Sparkling Water, Flavored - 17 oz Bottles",, Labatt Food Service Sparkling Ice - Various Flavors ,,"10,000",9.09
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,5,"Coffee - Cold Brew Coffee, 10 oz Bottle",,Heartland Food Products Group Java House Cold Brew Coffee - ,,"5,000",16.2
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,5,"Coffee - Cold Brew Coffee, 10 oz Bottle",, Various Lightly Sweetened Flavors HEYDAY Cold Brew HEYDAY Cold Brew - Various ,,"5,000",22.2
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,5,"Coffee - Cold Brew Coffee, 10 oz Bottle",, Flavors Pepsi Beverages Company Starbucks Cold Brew Black ,,"5,000",29.48
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,6,Juice - 100% Juice - 11.5 oz Cans,,Dr Pepper Bottling Company of Texas (The Snapple - Various Flavors ,,"5,000",10.6
"ne 20, 2019",verages for Nutrition Services Annual Contract #19-07-3100,6,Juice - 100% Juice - 11.5 oz Cans,, American Bottling Company) Coca-Cola Refreshments (Alt ,,"5,000",13.2
