Sales Code,Item No.,Mfg. Item No.,Brand,Description,Pack Size,Selling Price,Fee for Service,Category,Starting Date,Ending Date,Bid No.,Bid Line No.,Velocity,Price per Serving
COOP181,100011,10071179048589,SIMPLOT,RICE CILANTRO LIME ROAST CORN,6/2.5LB,33.71,0.00,RICE,07/01/23,06/30/24,09-22-23-FN,853,C,0
COOP181,100132,5990/566672,BRAKEBUSH,PATTY GRILLED BREAST,61/2.62OZ,46.54,0.00,PROC CHIX,07/01/23,06/30/24,09-22-23-FN,458,C,0.763
COOP181,100138,7205/566839,BRAKEBUSH,BONELESS BREAST BUFFALO WINGS,2/5LB,59.77,0.00,PROC CHIX,07/01/23,06/30/24,09-22-23-FN,457,D,1.128
COOP181,100200,72820,BUENA VISTA,COOKIE PUMPKIN WG IW,150/1OZ,58.85,0.00,HLDY CKY,07/01/23,06/30/24,09-22-23-FN,473,D,0.392
COOP181,100312,21104,GOLD STAR FOODS,6 TACO SHELLS JUMBO,200CT,26.20,0.00,HISPANIC,07/01/23,06/30/24,09-22-23-FN,618,C,1.31
COOP181,100446,150,DAVES,MUFFIN CORN SUPER STAR WG IW,128/1.65OZ,57.14,0.00,MUFFIN,07/01/23,06/30/24,09-22-23-FN,512,B,0.446
COOP181,100482,FT600,DAVES,BUN WHOLE WHEAT CINNM IW,72/2.7OZ,39.54,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,509,C,0.549
COOP181,100484,WG1111,DAVES,BAR BUTTERMILK WG IW,72/2.7OZ,40.74,0.00,BREAKFAST,07/01/23,06/30/24,09-22-23-FN,521,B,0.566
COOP181,100534,CB640,DON LEE FARMS,TWIN PACK MINI CHS BURGER IW,72/4.45OZ,112.05,0.00,PROC BEEF,07/01/23,06/30/24,09-22-23-FN,544,B,1.556
COOP181,100608,07722235459,ROSATI,CRYBABY SOUR CHRRY ITALIAN ICE,90/4.4OZ,34.80,0.00,FRZN SNCKS,07/01/23,06/30/24,09-22-23-FN,827,C,0.387
COOP181,100694,70247138149/517204,FARMLAND,PATTY FULLY COOKED PORK,10LB,36.69,0.00,PROC PORK,07/01/23,06/30/24,09-22-23-FN,563,C,0.331
COOP105,100894,14323,GOLD MEDAL,ALL PURPOSE BLEACHED FLOUR,25LB,15.70,0.00,BAKING NDS,07/01/23,06/30/24,2022-23-03-CN,121,D,0
COOP105,100898,58072,GOLD MEDAL,FLOUR FINE GROUND WHOLE WHEAT,50LB,31.41,0.00,BAKING NDS,07/01/23,06/30/24,2022-23-03-CN,122,W,0
COOP181,101006,612869,JENNIE O,5 8/1 TURKEY FRANKS,4/5LB,57.20,0.00,HOT DOGS,07/01/23,06/30/24,09-22-23-FN,657,C,0.358
COOP181,101144,70247811578,FARMLAND,6 6/1 HOT DOG ALL BEEF,10LB,41.76,0.00,HOT DOGS,07/01/23,06/30/24,09-22-23-FN,564,B,0.696
COOP181,101264,63355-9,SMART FOODS,NUGGETS WINTER WNDRLND SHPD WG,10LB,58.53,0.00,PROC CHIX,07/01/23,06/30/24,09-22-23-FN,865,W,1.104
COOP181,101472,10912,WORLDS FINEST,VEGETABLES MIXED,1/20LB,31.88,0.00,FRZN VEG,07/01/23,06/30/24,09-22-23-FN,923,C,0.298
100145,101474,12312,WORLDS FINEST,PEAS GREEN,1/20LB,36.64,0.00,FRZN VEG,10/05/23,06/30/24,,,C,0.366
COOP181,101476,00606,READY FIX,CALIFORNIA BLEND VEGETABLES,1/20LB,36.44,0.00,FRZN VEG,07/01/23,06/30/24,09-22-23-FN,803,D,0
COOP181,101480,27403,READY FIX,MINI COB CORN,96/3OZ,34.29,0.00,FRZN VEG,07/01/23,06/30/24,09-22-23-FN,801,W,0.357
COOP181,101482,13112,READY FIX,PEAS & CARROTS,1/20LB,31.54,0.00,FRZN VEG,10/05/23,06/30/24,,,D,0.312
COOP181,101592,94562-06226,PILLSBURY,DOUGH CINNAMON ROLLS TWIRL,100/5OZ,77.71,0.00,BAKERY,07/01/23,06/30/24,09-22-23-FN,782,D,0.777
COOP181,101680,10000013816,ADVANCE PIERRE,GRLD BF RIB W/ HONY BBQ SAUCE,100/3.25OZ,102.02,0.00,PROC BEEF,07/01/23,06/30/24,09-22-23-FN,404,W,1.02
COOP181,101682,10000013817,ADVANCE PIERRE,GRLD PRK RIBBQ W/HNY BBQ SAUCE,100/3.25OZ,71.83,0.00,PROC PORK,07/01/23,06/30/24,09-22-23-FN,405,C,0.718
COOP181,101712,10000029300,ADVANCE PIERRE,MEATLOAF WITH KETCHUP,100/3OZ,91.77,0.00,PROC BEEF,07/01/23,06/30/24,09-22-23-FN,403,C,0.918
COOP181,101764,6TT200B,BELL TASTY,NADA TACO TURKEY,60/5OZ,59.06,0.00,POCKETS,07/01/23,06/30/24,09-22-23-FN,452,C,0.984
