vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se,IQR,Q0,Q0.25,Q0.5,Q0.75,Q1
1,32939,3832.821,2226.998,3819,3830.784,2880.692,1,7679,7678,0.004,-1.212,12.271,3885,1,1894,3819,5779,7679
2,32939,554.329,326.909,530,547.417,398.819,1,1190,1189,0.165,-1.019,1.801,528,1,285,530,813,1190
3,32939,107.839,67.51,96,105.495,77.095,1,238,237,0.351,-1.058,0.372,111,1,54,96,165,238
4,32939,10.862,5.96,9,10.567,4.448,1,24,23,0.5,-0.794,0.033,10,1,7,9,17,24
5,32939,2019.586,1.245,2020,2019.521,1.483,2018,2022,4,0.252,-1.024,0.007,3,2018,2018,2020,2021,2022
6,32939,101.807,6.408,102.21,101.668,7.087,86.901,120.131,33.23,0.193,-0.161,0.035,8.419,86.901,96.707,102.21,105.126,120.131
7,32939,52238.139,61081.526,30495.25,41383.462,40801.226,0,1058208.6,1058208.6,2.146,9.194,336.554,70329.505,0,6954.115,30495.25,77283.62,1058208.6
8,32939,130186.646,132526.774,95328.99,110879.592,119893.399,0,1841779.62,1841779.62,1.847,6.916,730.211,175489.075,0,24727.31,95328.99,200216.385,1841779.62
9,32939,37478.322,39039.26,26688,31637.906,34541.615,0,542965,542965,1.874,7.023,215.103,51522,0,6323,26688,57845,542965
10,32939,46622.1,44074.828,39429,40838.363,44018.394,0,545858,545858,1.779,6.685,242.848,59374.5,0,10108,39429,69482.5,545858
11,30776,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,30776,0.784,0.223,0.846,0.819,0.217,0,1,1,-1.154,0.731,0.001,0.317,0,0.664,0.846,0.981,1
13,32939,23034.401,27879.843,12728,17899.586,17211.503,0,494490,494490,2.261,10.078,153.616,30986,0,2821,12728,33807,494490
14,32939,1060.464,1944.896,162,631.331,240.181,0,30830,30830,4.129,28.945,10.716,1427,0,0,162,1427,30830
15,32939,3223.967,5503.942,1273,2052.399,1887.35,0,99664,99664,4.298,30.693,30.326,4131,0,12,1273,4143,99664
16,32939,52238.139,61081.526,30495.25,41383.462,40801.226,0,1058208.6,1058208.6,2.146,9.194,336.554,70329.505,0,6954.115,30495.25,77283.62,1058208.6
17,32939,35229.414,37566.755,24012,29418.129,31613.48,0,542965,542965,1.91,7.222,206.99,48883,0,5576,24012,54459,542965
18,32939,2248.909,3608.827,477,1477.359,707.2,0,43154,43154,2.902,13.16,19.884,3381,0,0,477,3381,43154
19,32939,9143.777,14166.092,3322,6115.868,4925.197,0,219011,219011,3.147,17.262,78.054,12593.5,0,17,3322,12610.5,219011
20,32939,107.839,67.51,96,105.495,77.095,1,238,237,0.351,-1.058,0.372,111,1,54,96,165,238
21,32084,0.76,0.223,0.817,0.793,0.204,0,1,1,-1.139,0.796,0.001,0.285,0,0.649,0.817,0.934,1
22,32084,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,32084,52763.469,61307.302,31053.365,41950.239,41446.669,0,1058208.6,1058208.6,2.138,9.19,342.269,71101.875,0,7182.005,31053.365,78283.88,1058208.6
24,32939,989.714,1684.701,394.01,631.275,584.159,0,29899.2,29899.2,4.275,30.321,9.283,1266.145,0,3.84,394.01,1269.985,29899.2
25,32939,51248.425,60592.524,29419.91,40368.808,39577.043,-0,1058208.6,1058208.6,2.171,9.418,333.86,69279.43,-0,6460.43,29419.91,75739.86,1058208.6
26,30831,NA,NA,2.14,2.137,0.089,-Inf,Inf,Inf,NA,NA,NA,0.122,-Inf,2.078,2.14,2.2,Inf
27,32084,-0.706,54.688,0,0,0,-5935.6,0,5935.6,-92.335,9158.032,0.305,0,-5935.6,0,0,-0,0
28,32084,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,32084,52762.651,61307.491,31053.365,41949.215,41445.898,0,1058208.6,1058208.6,2.138,9.19,342.27,71103.78,0,7180.1,31053.365,78283.88,1058208.6
30,28103,558.37,1127.076,534.221,540.4,146.647,90.791,187592.75,187501.959,162.615,26981.891,6.723,202.321,90.791,439.945,534.221,642.266,187592.75
31,28103,18813416.415,28790078.154,8666515,11884623.571,11845219.357,9558,127747054,127737496,2.609,6.437,171738.04,21557482,9558,1495066,8666515,23052548,127747054
32,28103,34527.77,47142.074,16490,24144.485,23180.451,4,213528,213524,2.29,5.289,281.211,44679,4,2718,16490,47397,213528
